000,Check in please.,체크인요.
001,Where is my gate?,게이트 어디예요?
002,Can I get a map?,지도 주세요?
003,How much is this?,이거 얼마예요?
004,I need a taxi.,택시가 필요해요
005,What time is it?,지금 몇 시예요?
006,Do you have Wi-Fi?,와이파이 되나요?
007,I'm lost.,길을 잃었어요
008,Please give me water.,물을 주세요
009,Take me here.,여기로 가요.
010,Can I pay by card?,카드로 돼요?
011,I want a menu.,메뉴판 볼게요.
012,It's too cold.,너무 추워요.
013,Excuse me?,저기요 질문요.
014,Where is the bathroom?,화장실이 어디예요?
015,I need help.,도움이 필요해요
016,Can I try this?,이거 입어봐요?
017,It was so good.,정말 맛있었어요
018,Just a moment.,잠깐만요.
019,I don't get it.,이해 못 했어요
020,How do I get there?,거기 어떻게 가요?
021,I have a room.,예약했어요
022,Can I sit here?,여기 앉을까요?
023,It's very good.,이거 아주 좋아요
024,Where's the subway?,지하철 어디예요?
025,I'm allergic to nuts.,견과류 알레르기요.
026,Can I change money?,환전 되나요?
027,I'll take this.,이것으로 할게요
028,Just looking.,그냥 보는 중이에요
029,Can I get a receipt?,영수증 돼요?
030,I want to order.,지금 주문할게요.
031,Is breakfast free?,아침 식사 무료예요?
032,Say that again?,다시 말해줘요?
033,I need a fork.,포크가 필요해요
034,Is it far?,여기서 먼가요?
035,How long takes it?,얼마나 걸려요?
036,I feel sick.,오늘 몸이 안 좋아요
037,I need a blanket.,담요가 필요해요
038,What is this street?,이 거리는 뭐예요?
039,Your name please?,성함을 알려주세요
040,I need a single.,싱글룸이 필요해요
041,Speak slowly.,천천히 말해주세요
042,Which bus?,어떤 버스가 가요?
043,Is this included?,포함된 건가요?
044,I want to go back.,돌아가고 싶어요
045,I like this a lot.,이거 정말 좋아요
046,Where to smoke?,어디서 흡연해요?
047,How can I call you?,어떻게 불러야 하나요?
048,It is on the house.,이건 서비스예요
049,Lost my passport.,여권을 잃었어요.
050,Any discount?,할인이 있나요?
051,Can I leave bags?,짐을 맡길까요?
052,Two nights stay.,이틀 밤 묵을 거예요
053,I need a train.,기차를 타야 해요
054,Take credit cards?,신용카드 받나요?
055,Need bigger size.,더 큰 사이즈요.
056,Hurry up please.,서둘러 주세요
057,It's my first time.,처음이에요
058,Can I use my phone?,제 폰 써도 돼요?
059,I need a quiet room.,조용한 방이 필요해요
060,Is this taken?,이 자리 주인 있나요?
061,What's your special?,특별 메뉴는요?
062,I want the view.,경치를 보고 싶어요
063,Stop here.,여기서 멈춰 주세요
064,Do you have a key?,열쇠 갖고 계세요?
065,Can I get a towel?,수건을 받을까요?
066,I need adapter.,어댑터가 필요해요
067,Where is the ATM?,ATM은 어디예요?
068,Spoon please?,숟가락 주세요?
069,Going to the beach.,해변에 갈 거예요
070,Room number?,방 번호가 몇 번이에요?
071,I'll pay for us.,저희가 계산할게요
072,Tastes strange.,맛이 이상해요.
073,Can I cancel?,이거 취소할 수 있나요?
074,Where's fitting room?,탈의실이 어디예요?
075,Table for two.,2인용 테이블이요
076,Can I get a refill?,리필해 주시겠어요?
077,I'm really sleepy.,정말 졸려요
078,When's next bus?,다음 버스는 언제예요?
079,It's too expensive.,너무 비싸요
080,Need luggage cart.,수하물 카트 필요해요
081,What's main dish?,메인 요리가 뭐예요?
082,Open the window?,창문 열어도 돼요?
083,I need to call home.,집에 전화해야 해요
084,How was your flight?,비행은 어땠어요?
085,Is there a pool?,수영장이 있나요?
086,Receipt please.,영수증 좀 주세요?
087,Need smaller size.,더 작은 사이즈요.
088,Where to buy ticket?,표는 어디서 사요?
089,I want a window seat.,창가 자리 원해요.
090,I need a tissue box.,티슈 상자가 필요해요
091,Is hotel nearby?,호텔이 근처인가요?
092,I'll check out.,체크아웃 할게요
093,Pay in cash?,현금으로 결제해요?
094,I want a rental car.,차를 빌리고 싶어요
095,How much is fare?,요금이 얼마예요?
096,Is it safe at night?,밤에는 안전한가요?
097,I need a pillow.,베개가 필요해요
098,Nearest bank?,가장 가까운 은행은?
099,Help me with this?,이것 좀 도와주세요?
100,I need a doctor.,의사가 필요해요
101,I want a round trip.,왕복표 원해요.
102,Baggage claim?,수하물 찾는 곳은?
103,Table outside please.,야외 테이블로요.
104,Is there a gym here?,여기에 체육관이 있나요?
105,Need a new key.,새 키 카드가 필요해요
106,Breakfast time?,아침 식사는 몇 시예요?
107,I want to exchange.,이걸 교환하고 싶어요
108,Here on business.,업무차 왔습니다
109,I want a castle.,성을 보고 싶어요
110,Some sugar please?,설탕 좀 주시겠어요?
111,Non-smoking room.,금연실로 부탁해요
112,Charge to my room.,방에 달아 주세요
113,Check-out time?,체크아웃 시간은요?
114,Ready to order.,주문할 준비 됐어요.
115,Can I get a discount?,할인 좀 받을 수 있나요?
116,Need a power outlet.,콘센트가 필요해요
117,Is water safe?,이 물 마셔도 돼요?
118,I'll be back soon.,금방 돌아올게요
119,Can I take a photo?,사진 찍어도 될까요?
120,I need more soap.,비누가 더 필요해요
121,What is your name?,당신의 이름은 무엇인가요?
122,Traveling alone.,혼자 여행 중이에요
123,Can I get a knife?,나이프를 주시겠어요?
124,I need a ride.,차를 태워 주세요
125,Duty-free where?,면세점은 어디예요?
126,I'll call you later.,나중에 전화할게요
127,What food is this?,이건 무슨 음식이에요?
128,I need bigger room.,더 큰 방이 필요해요
129,Can I taste this?,이것 좀 맛봐도 될까요?
130,I have a big bag.,큰 여행 가방 있어요.
131,Write it down.,적어주세요
132,Ticket to Seoul.,서울행 표가 필요해요
133,Right way?,이 길이 맞나요?
134,Can I have a spoon?,숟가락 좀 주세요
135,Need a wake-up.,모닝콜이 필요해요
136,Pet policy?,애완동물 규정이 있나요?
137,I want a stamp.,우표를 사고 싶어요
138,Speed limit?,속도 제한은 얼마예요?
139,Find a store.,가게를 찾아야 해요
140,Can I get a receipt?,영수증 주세요
141,Go for a walk.,산책하러 가고 싶어요
142,Tourist info?,여행 안내소가 있나요?
143,I need more time.,시간이 더 필요해요
144,Take me there?,거기로 데려다 줄 수 있나요?
145,I need a dryer.,헤어 드라이어가 필요해요
146,Tour time?,투어는 몇 시에 시작해요?
147,Waiting for someone.,누군가를 기다리고 있어요
148,Can I use your phone?,전화 좀 써도 될까요?
149,Try local food.,현지 음식을 먹고 싶어요
150,Need new bulb.,새 전구가 필요해요
151,Where can I park?,어디에 주차할 수 있나요?
152,I'll be right back.,금방 다시 올게요
153,Can I have a look?,좀 봐도 될까요?
154,Need shoe polish.,구두약 세트가 필요해요
155,Your address?,당신의 주소는 무엇인가요?
156,I want clothes.,옷을 사고 싶어요
157,Direct flight?,직항편인가요?
158,Need a safety pin.,안전핀이 필요해요
159,Pay for my friend?,친구 대신 내도 될까요?
160,I want a coffee.,커피 한 잔 주세요
161,Is noise too loud?,소음이 너무 큰가요?
162,I need a toothbrush.,칫솔이 필요해요
163,Where to find gift?,선물은 어디서 찾아요?
164,Can I have a juice?,주스 한 잔 주세요
165,Call embassy.,대사관에 전화해야 해요
166,Flight number?,항공편 번호가 뭐예요?
167,Here for vacation.,휴가차 왔습니다
168,Can I use printer?,프린터 좀 써도 될까요?
169,Need a warm coat.,따뜻한 코트가 필요해요
170,Is there a station?,근처에 역이 있나요?
171,I want a museum.,박물관을 보고 싶어요
172,Small bag please.,작은 봉투 좀 주세요
173,I need an iron.,다리미가 필요해요
174,Main reason?,주요 이유는 무엇인가요?
175,Going to the park.,공원에 갈 거예요
176,Get stamp here?,여기서 우표를 사요?
177,I need a band-aid.,밴드가 필요해요
178,Cheap food where?,저렴한 음식점은요?
179,I want to try it.,이거 입어보고 싶어요
180,Send a postcard.,엽서를 보내야 해요
181,Pay separately.,따로 계산할게요
182,Is this final price?,이 가격이 최종인가요?
183,Room on high floor.,고층 방이 필요해요
184,Current time?,현재 시간은 몇 시예요?
185,Reserve a seat.,좌석을 예약하고 싶어요
186,Use my voucher?,상품권을 사용해도 될까요?
187,I need a pen.,펜이 필요해요
188,Lost and found?,분실물 센터는 어디예요?
189,I want a bike.,자전거를 빌리고 싶어요
190,Can I get a napkin?,냅킨을 주시겠어요?
191,Need a city map.,시내 지도가 필요해요
192,Your phone number?,전화번호가 뭐예요?
193,Not feeling well.,몸 상태가 좋지 않아요
194,Ride to airport?,공항까지 태워줄래요?
195,Need some aspirin.,아스피린이 좀 필요해요
196,Laundry service?,세탁 서비스가 있나요?
197,I want a nap.,잠깐 눈을 붙이고 싶어요
198,Can I leave early?,일찍 떠나도 될까요?
199,Fix my camera.,카메라를 고쳐야 해요
200,Where is the exit?,출구는 어디예요?
201,I want a bus.,버스를 타고 싶어요
202,Can I get a spoon?,수저를 주시겠어요?
203,I need a receipt.,영수증이 필요해요
204,Is the tip included?,팁이 포함되어 있나요?
205,Waiting for friend.,친구를 기다리는 중이에요
206,Look at this?,이것 좀 봐도 될까요?
207,I need small change.,잔돈이 필요해요
208,Your email address?,이메일 주소는 뭐예요?
209,Stay one more night.,하룻밤 더 묵을게요
210,Hot drink please.,따뜻한 음료 주세요
211,I need shoehorn.,구둣주걱이 필요해요
212,Charge phone where?,폰 충전은 어디서 해요?
213,I want some wine.,와인을 좀 사고 싶어요
214,Use the elevator?,엘리베이터 써도 돼요?
215,Need safety box.,금고가 필요해요
216,Local currency?,현지 통화가 뭐예요?
217,Visit family.,가족 방문차 왔습니다
218,Cold drink please.,차가운 음료 주세요
219,Need needle and thread.,바늘과 실이 필요해요
220,Best price?,이게 최저가인가요?
221,I want to shop.,쇼핑하러 가고 싶어요
222,Can I have a fork?,포크 좀 주세요
223,Need plastic bag.,비닐봉투가 필요해요
224,Dining hall where?,식당은 어디예요?
225,Going to concert.,콘서트에 갈 거예요
226,Use your washroom?,세면실 좀 써도 될까요?
227,I need a new battery.,새 배터리가 필요해요
228,What's the password?,비밀번호가 뭐예요?
229,Try something new.,새로운 것을 해보고 싶어요
230,Some butter please?,버터 좀 주시겠어요?
231,I need bottle opener.,병따개가 필요해요
232,Is the line long?,줄이 긴가요?
233,Here for few days.,며칠 동안 있을 거예요
234,Can I get a blanket?,담요 좀 받을 수 있나요?
235,I need to mail this.,이것을 우편으로 보내야 해요
236,Best view where?,최고의 경치는 어디예요?
237,I want a book.,책을 사고 싶어요
238,Check my email?,이메일 확인해도 돼요?
239,Taxi to station.,역으로 가는 택시가 필요해요
240,What's the weather?,날씨가 어때요?
241,Going to cinema.,영화관에 갈 거예요
242,Can I get dessert?,디저트를 주시겠어요?
243,Receipt please.,영수증 부탁해요
244,Museum open now?,박물관이 지금 여나요?
245,I want to walk.,주변을 걷고 싶어요
246,Can I have some ice?,얼음 좀 주시겠어요?
247,Book a flight.,비행기를 예약해야 해요
248,Get haircut where?,이발은 어디서 해요?
249,I'm sorry late.,죄송해요 늦었어요
250,I need double room.,더블룸이 필요해요
251,Pay with dollars?,달러로 계산할 수 있나요?
252,Seat near exit.,출구 근처 좌석 원해요.
253,Currency exchange?,환전소는 어디예요?
254,I need small bottle.,작은 병이 필요해요
255,Check-in time?,체크인 시간은요?
256,Call my family.,가족에게 전화하고 싶어요
257,Order a beer.,맥주 한 잔 주문할게요.
258,Fill out this form.,이 양식을 작성해야 해요
259,Local market nearby?,근처에 시장이 있나요?
260,Take a picture here.,여기서 사진 찍고 싶어요
261,Try this food?,이 음식 맛봐도 돼요?
262,Wake-up call at 6.,6시에 모닝콜 부탁해요
263,Where's pharmacy?,약국은 어디예요?
264,I want a souvenir.,기념품을 사고 싶어요
265,Use this coupon?,이 쿠폰을 사용할 수 있나요?
266,I need extra chair.,여분의 의자가 필요해요
267,What is the address?,여기 주소가 뭐예요?
268,Here for conference.,회의차 왔습니다
269,Clean towel please?,깨끗한 수건 주시겠어요?
270,Need bus schedule.,버스 시간표가 필요해요
271,Show cancelled?,쇼가 취소됐나요?
272,See city lights.,도시 야경을 보고 싶어요
273,Table by window.,창가 테이블로 할게요.
274,I need painkiller.,진통제가 필요해요
275,Find bookstore where?,서점은 어디서 찾아요?
276,I want a temple.,사원에 가고 싶어요
277,Diet coke please.,다이어트 콜라 주세요
278,Need plug adapter.,플러그 어댑터가 필요해요
279,Is this seat open?,이 자리는 비어있나요?
280,Waiting for reply.,답장을 기다리고 있어요
281,Glass of wine?,와인 한 잔 주시겠어요?
282,Need to send a fax.,팩스를 보내야 해요
283,Closing time?,마감 시간은 몇 시예요?
284,I want snacks.,간식을 좀 사고 싶어요
285,Look at map?,지도를 좀 봐도 될까요?
286,Need luggage tag.,수하물 꼬리표가 필요해요
287,Smoking area?,흡연 구역이 있나요?
288,Going to the bank.,은행에 갈 거예요
289,Bill please.,계산서 주세요
290,I need new toothbrush.,새 칫솔이 필요해요
291,Best way to go?,가장 좋은 방법은 뭐예요?
292,I want the bridge.,다리를 보고 싶어요
293,Discount now?,지금 할인되나요?
294,Use the internet.,인터넷을 사용해야 해요
295,Price negotiable?,가격 흥정 되나요?
296,Allergic to seafood.,해산물 알레르기가 있어요
297,A little more?,조금 더 주시겠어요?
298,Need travel guide.,여행 가이드가 필요해요
299,Mail letter where?,편지를 어디서 부치나요?
300,I want Korean.,한국어를 배우고 싶어요
301,Use my headphones?,헤드폰을 써도 될까요?
302,Need quiet spot.,조용한 장소가 필요해요
303,Entrance fee?,입장료는 얼마예요?
304,Here for long trip.,장기 여행 중이에요
305,Plastic cup please?,플라스틱 컵을 주시겠어요?
306,Wash my clothes.,옷을 세탁해야 해요
307,Museum free today?,오늘 박물관은 무료인가요?
308,I want the market.,시장에 가고 싶어요
309,Get bus ticket?,버스표를 살 수 있나요?
310,Need charging cable.,충전 케이블이 필요해요
311,Exchange rate?,환율은 얼마예요?
312,Going to mountain.,산에 갈 거예요
313,Paper bag please?,종이봉투 좀 주시겠어요?
314,Check my bags.,가방을 확인해야 해요
315,Train on time?,기차가 정시인가요?
316,I want some gifts.,선물을 좀 사고 싶어요
317,Small coffee please.,작은 커피 한 잔 주세요
318,I need a spare key.,여분의 열쇠가 필요해요
319,Closest toilet?,가장 가까운 화장실은?
320,Here for two weeks.,2주 동안 있을 거예요
321,Cold water please?,찬물 좀 주시겠어요?
322,Find public phone.,공중전화를 찾아야 해요
323,Best time to visit?,방문하기 좋은 시간은요?
324,I want a shower.,샤워하고 싶어요
325,Use this chair?,이 의자를 써도 될까요?
326,Need phone charger.,휴대폰 충전기가 필요해요
327,Is park crowded?,공원이 붐비나요?
328,Going to concert hall.,콘서트장으로 갈 거예요
329,More bread please?,빵 좀 더 주시겠어요?
330,Stamp for the US.,미국으로 보낼 우표가 필요해요
331,Buy postcard where?,엽서는 어디서 사요?
332,Try that dessert.,저 디저트를 먹고 싶어요
333,Get ticket here?,여기서 표를 살 수 있나요?
334,I need laundry bag.,세탁 봉투가 필요해요
335,Opening hour?,개장 시간은 몇 시예요?
336,Here with friends.,친구들과 함께 왔어요
337,Sweet wine please.,달콤한 와인 주세요
338,I need corkscrew.,코르크 마개가 필요해요
339,Included in tour?,이게 투어에 포함되나요?
340,Walk to station.,역까지 걸어가고 싶어요
341,Use your map?,지도 좀 써도 될까요?
342,Need toothbrush paste.,칫솔과 치약이 필요해요
343,Information desk?,안내 데스크는 어디예요?
344,Going back tomorrow.,내일 돌아갈 거예요
345,Quiet seat please.,조용한 좌석으로 주세요
346,Call my office.,사무실에 전화해야 해요
347,Bus number?,버스 번호는 뭐예요?
348,I want a scooter.,스쿠터를 빌리고 싶어요
349,Ride with you?,같이 태워주실 수 있나요?
350,Room facing sea.,바다가 보이는 방이 필요해요
351,Show worth seeing?,볼 만한 쇼인가요?
352,Here on holiday.,휴가로 왔습니다
353,Glass of beer?,맥주 한 잔 주시겠어요?
354,Taxi to airport.,공항 가는 택시가 필요해요
355,Nearest cafe?,가장 가까운 카페는요?
356,Try new haircut.,새로운 헤어스타일을 원해요
357,Check please.,계산서 좀 주세요
358,Room with two beds.,침대 두 개 있는 방이요
359,Time difference?,시차는 어떻게 돼요?
360,Just passing through.,그냥 지나가는 중이에요
361,Get souvenir here?,여기서 기념품을 살까요?
362,I need small umbrella.,작은 우산이 필요해요
363,Good restaurant nearby?,근처에 좋은 식당 있나요?
364,I want old town.,구시가지를 보고 싶어요
365,Cold beer please.,시원한 맥주 주세요
366,Catch next flight.,다음 비행기를 타야 해요
367,Ticket office where?,표 파는 곳은 어디예요?
368,Going to beach soon.,곧 해변에 갈 거예요
369,Window table please.,창가 자리로 주시겠어요?
370,I need simple meal.,간단한 식사가 필요해요
371,Flight duration?,비행 시간은 얼마나 돼요?
372,Look around.,주변을 둘러보고 싶어요
373,Towel for the pool?,수영장 수건 좀 받을까요?
374,Need local SIM.,현지 유심 카드가 필요해요
375,Price for one?,이 가격은 1인당인가요?
376,I'm very hot.,너무 더워요
377,Table for one.,1인용 테이블로 할게요.
378,Buy medicine.,약 좀 사야 해요
379,Find good park where?,좋은 공원은 어디예요?
380,Check my luggage.,짐을 부치고 싶어요
381,Knife and fork?,나이프와 포크 주시겠어요?
382,I need extra key.,여분 열쇠가 필요해요
383,Name of this place?,이곳 이름이 뭐예요?
384,Going to gym now.,지금 체육관에 갈 거예요
385,Coffee to go?,커피 테이크아웃 되나요?
386,Need luggage scale.,수하물 저울이 필요해요
387,Is the food spicy?,음식이 매운가요?
388,I want to port.,항구에 가고 싶어요
389,Hot sauce please?,핫소스 좀 주시겠어요?
390,I need a tour guide.,여행 가이드가 필요해요
391,Departure time?,출발 시간은 몇 시예요?
392,Here for short stay.,짧게 머물러요
393,Use the gym today?,오늘 체육관을 써도 돼요?
394,Need local paper.,지역 신문이 필요해요
395,Good coffee where?,맛있는 커피는 어디예요?
396,I want concert.,콘서트를 보고 싶어요
397,Little ice please?,얼음 조금만 주시겠어요?
398,I need sewing kit.,바느질 도구가 필요해요
399,Is the internet fast?,인터넷이 빠른가요?
400,I want sweets.,단것을 좀 사고 싶어요
401,Pay with phone?,폰으로 결제할 수 있나요?
402,Dinner reservation.,저녁 식사 예약을 해야 해요
403,Local custom?,현지 관습이 뭐예요?
404,Going to museum.,박물관에 갈 거예요
405,Blanket for flight?,비행기 담요 좀 주실까요?
406,Need iron and board.,다리미와 다리미판이 필요해요
407,Breakfast buffet?,아침은 뷔페인가요?
408,Explore the area.,이 지역을 탐험하고 싶어요
409,Receipt in English?,영어로 된 영수증 주세요
410,Taxi in 10 minutes.,10분 뒤에 택시 부탁해요
411,Police station?,경찰서는 어디예요?
412,Here for sightseeing.,관광하러 왔습니다
413,Dessert menu please.,디저트 메뉴판 주세요
414,Small water bottle.,작은 물 한 병이 필요해요
415,Last bus?,이게 마지막 버스인가요?
416,I want to the top.,꼭대기에 가고 싶어요
417,Some milk please?,우유 좀 주시겠어요?
418,Buy power bank.,보조 배터리를 사야 해요
419,Find pharmacy where?,약국은 어디서 찾아요?
420,Going to office.,사무실에 갈 거예요
421,Use your scissors?,가위 좀 써도 될까요?
422,Spare room key.,여분의 방 키가 필요해요
423,Speed limit here?,여기 속도 제한은요?
424,I want the show.,쇼를 보고 싶어요
425,Get taxi here?,여기서 택시를 잡을까요?
426,Bus to the center.,시내 가는 버스가 필요해요
427,Luggage room?,수하물 보관실이 있나요?
428,Waiting for train.,기차를 기다리고 있어요
429,Hot tea please.,뜨거운 차 한 잔 주세요
430,I need simple map.,간단한 지도가 필요해요
431,Buy ticket now?,지금 표를 어디서 사요?
432,I want this dish.,이 요리를 맛보고 싶어요
433,Late check-out?,늦게 체크아웃 되나요?
434,Room ground floor.,1층 방이 필요해요
435,Currency symbol?,통화 기호가 뭐예요?
436,Going to park next.,다음은 공원에 갈 거예요
437,Some sugar please.,설탕 좀 주세요
438,Return this.,이것을 반납해야 해요
439,Right platform?,이 승강장이 맞나요?
440,I want a newspaper.,신문을 사고 싶어요
441,Taxi to hotel?,호텔 가는 택시 좀 불러주세요
442,Reservation for two.,2인 예약을 해야 해요
443,Info center where?,정보 센터는 어디예요?
444,Traveling with family.,가족과 여행 중이에요
445,Small portion?,적은 양으로 주시겠어요?
446,Towel for my hair.,머리 수건이 필요해요
447,Local specialty?,현지 특산품이 뭐예요?
448,Walk now.,지금 산책하고 싶어요
449,Cold water bottle?,시원한 물 한 병 주세요
450,I need extra bed.,여분의 침대가 필요해요
451,Tour in English?,투어는 영어 가이드인가요?
452,Here for a wedding.,결혼식 때문에 왔습니다
453,Ketchup please?,케첩 좀 주시겠어요?
454,Room with balcony.,발코니가 있는 방이요
455,Main entrance?,정문은 어디예요?
456,I want the sunset.,일몰을 보고 싶어요
457,Use the stairs?,계단을 써도 될까요?
458,Postcard and stamp.,엽서와 우표가 필요해요
459,Bus fare?,버스 요금은 얼마예요?
460,Going to station now.,지금 역에 갈 거예요
461,Smaller one please?,더 작은 걸로 주시겠어요?
462,Need luggage lock.,여행 가방 자물쇠가 필요해요
463,Ferry running today?,오늘 페리가 운행하나요?
464,Try something sweet.,달콤한 것을 먹고 싶어요
465,Cup of milk please?,우유 한 잔 주시겠어요?
466,Reservation at 7.,7시에 예약해야 해요
467,Buy souvenir where?,기념품은 어디서 사요?
468,Here for business.,출장으로 왔습니다
469,Receipt for this?,이것에 대한 영수증은요?
470,New battery for this.,이것에 쓸 새 배터리가 필요해요
471,Next stop?,다음 정거장은 어디예요?
472,I want the fountain.,분수를 보고 싶어요
473,Some salt please?,소금 좀 주시겠어요?
474,Extend my stay.,숙박을 연장해야 해요
475,Open all night?,이곳은 밤새 영업하나요?
476,Leaving tomorrow.,내일 떠날 거예요
477,Use the treadmill?,러닝머신을 써도 될까요?
478,Copy of this.,이것을 복사해야 해요
479,Train platform?,기차 승강장은 어디예요?
480,I want some tea.,차를 좀 사고 싶어요
481,Small spoon please?,작은 숟가락 주시겠어요?
482,I need a tissue.,티슈가 필요해요
483,Meeting time?,미팅 시간은 언제예요?
484,Going to the river.,강에 갈 거예요
485,Table by the bar.,바 근처 테이블로 할게요.
486,I need a wine bottle.,와인 한 병이 필요해요
487,Place to sit?,앉을 곳이 있나요?
488,Check flight status.,비행기 상태를 확인하고 싶어요
489,Get stamp here?,여기서 우표를 사요?
490,Need bigger locker.,더 큰 사물함이 필요해요
491,Boat departure where?,배는 어디서 출발해요?
492,Here for a weekend.,주말 동안 왔어요
493,Some pepper please?,후추 좀 주시겠어요?
494,Call ambulance.,구급차를 불러야 해요
495,Check-out time?,퇴실 시간은 몇 시예요?
496,I want clock tower.,시계탑을 보고 싶어요
497,Use the pool now?,지금 수영장을 써도 돼요?
498,Reservation for 8.,8시에 예약 부탁해요
499,Shop open Sundays?,일요일에도 가게가 여나요?
500,I want local art.,현지 예술품 사고 싶어요
501,Glass of water?,물 한 잔 주시겠어요?
502,Room with a view.,전망 좋은 방이 필요해요
503,Closest bus stop?,가장 가까운 정류장은?
504,Leaving on Friday.,금요일에 떠날게요
